,drum pressure,excess oxygen,water level,steam flow
0,320.08239,2.5067739,0.032701299999999996,9.3029701
1,321.71099,2.5459079,0.28479944,9.6626206
2,320.91331,2.3605615,0.20365165,10.990955
3,325.00252,0.027054182000000003,0.32618688,12.430107
4,326.65276,0.28564943,0.75377625,13.681666
5,326.1869200000001,2.6313281,1.8518541,14.608885999999998
6,326.5894,0.99785528,2.3023396000000003,15.7132
7,328.73489,0.0044741484,2.4473566000000004,16.536307
8,329.60969,0.75569421,3.0366202,17.025369
9,330.18527,0.15045549,3.5675485,17.61613
10,331.73911,0.01263697,3.4628086,18.101964
11,333.10734,0.012963788,3.4233811000000003,18.617838
12,332.25268,0.0014304903,3.5421269,18.635723
13,331.96419,1.261866,3.5426977,18.751322
14,332.25844,-0.0045331285,3.0332127,19.508894
15,332.69819,-0.036224068,2.1551743,20.456632
16,333.7107,-0.028905017,2.130121,20.896455
17,334.92334,0.032445181000000003,2.2673874,21.027555
18,332.9222,0.06681917799999999,2.219328,20.836174
19,330.91511,-0.017981385,1.5736883,20.700635
20,328.32674,1.3176017,1.2966647,20.394276
21,326.40365,3.1512736,0.55131593,20.221607
22,323.65886,3.7267524,-0.11594851,19.741009
23,322.06013,3.5486489000000003,-0.54321366,19.849174
24,320.43344,4.0108657,-1.1849543,19.753394
25,321.22979,0.60034758,-1.232502,19.77857
26,319.58968,0.3598642,-1.678045,19.799859
27,318.0445200000001,0.5383361,-1.5227472,19.439141
28,316.75435,0.59206284,-1.6997060000000002,19.584162
29,314.49788,2.2091654,-1.998153,19.499002
30,313.33382,1.6364503,-1.9931504,19.649351
31,311.81621,-0.0077152759,-2.1874439,19.328394
32,309.18216,0.087425935,-1.8598275,19.169509
33,307.86685,0.29962486,-2.3164103,19.235623
34,309.14512,0.9250396999999999,-2.4560119,19.278401
35,308.45215,0.020171863,-2.0323638,19.340028
36,307.14219,-0.010024978,-2.2042178,19.342076
37,306.72141,-0.016982703999999998,-2.2121393,19.112734
38,304.91388,1.7276907,-2.1534249,18.867467
39,304.23075,2.1234908,-2.020367,19.073703
40,303.29298,-0.0042111193,-2.6744984,19.238704
41,303.03881,-0.024038614,-2.6075902,19.330707
42,303.59759,-0.018974644,-2.552693,19.74182
43,304.0345,-0.003489681,-2.3948822999999995,19.829021
44,305.12324,0.019294486,-2.1151915,19.73419
45,304.95864,-0.0017105371,-1.9420953,19.722264000000006
46,306.46574,0.016727897,-1.8605484,19.838407
